ID,Fecha Liturgica / Mortalidad,Nombre del Santo,Fecha de Nacimiento,Fecha de Mortalidad,Pais de Origen,Ciudad o Region,Realidad a la que pertenecio,Historia y Biografia,Detalles Curiosos o Significativos,Hijos en la fe
"11","17/Febrero","Los Santos Siete Fundadores de la Orden de los Servitas","Siglo XIII","1257 - 1310","Italia","Florencia / Monte Senario","Fundadores Religiosos (Orden de los Siervos de María)","Siete ilustres comerciantes florentinos se despojaron de sus bienes para retirarse al Monte Senario a servir a la Virgen Dolorosa en contemplación y pobreza.","Canonizados comunitariamente en una única causa por León XIII.","San Peregrino Laziosi, Frailes Servitas"
"12","21/Febrero","San Pedro Damián","1007","22/02/1072","Italia","Rávena / Faenza","Cardenal Obispo, Monje y Doctor de la Iglesia","Eremita de Fonte Avellana, cardenal de Ostia y mano derecha de los pontífices reformadores para sanear la disciplina eclesiástica.","Prefirió siempre su celda monacal a los honores pontificios.","—"
"13","23/Febrero","San Policarpo","69 d.C.","23/02/155","Turquía","Esmirna","Obispo, Padre Apostólico y Mártir","Discípulo del apóstol San Juan. Venerable obispo que enfrentó la pira y la espada a los ochenta y seis años confesando su fidelidad a Cristo.","Su gloriosa pasión es una de las primeras actas auténticas de los mártires.","San Ireneo de Lyon"
"14","27/Febrero","San Gregorio de Narek","951 d.C.","1003 d.C.","Armenia","Narek","Monje, Místico, Poeta y Doctor de la Iglesia","Insigne teólogo del monasterio de Narek. Autor del 'Libro de las Lamentaciones', cumbre universal del diálogo místico con Dios.","Declarado Doctor de la Iglesia por el Papa Francisco en 2015.","Pueblo armenio"
"15","4/Marzo","San Casimiro","03/10/1458","04/03/1484","Polonia / Lituania","Cracovia / Grodno","Príncipe Real y Modelo de Pureza","Príncipe heredero polaco-lituano que consagró su vida al celibato, el socorro a los desvalidos y el culto ferviente a la Madre de Dios.","Patrono celestial de Lituania y de la juventud cristiana polaca.","—"
"16","7/Marzo","Santas Perpetua y Felicidad","Siglo II","07/03/203","Túnez","Cartago","Madres de Familia y Mártires","Perpetua, joven dama noble con su hijo en brazos, y Felicidad, su sierva encinta, padecieron con alegría las fieras del circo por confesar a Jesús.","El 'Diario de Perpetua' es una reliquia conmovedora de fe paleocristiana.","—"
"17","9/Marzo","Santa Francisca Romana","1384","09/03/1440","Italia","Roma","Esposa, Madre de Familia y Religiosa Oblata","Dama patricia romana que atendió a los enfermos en peste y fundó la congregación de Oblatas de Tor de' Specchi.","Su Ángel Custodio caminaba a su lado como una luz viviente.","—"
"18","17/Marzo","San Patricio","385 d.C.","17/03/461","Gran Bretaña / Irlanda","Armagh","Obispo Misionero (Apóstol de Irlanda)","Cautivo esclavo de joven en Irlanda; retornó como obispo para plantar la cruz en los clanes celtas, bautizando a miles.","Utilizó la hoja del trébol para ilustrar el dogma de la Trinidad.","Pueblo irlandés"
"19","18/Marzo","San Cirilo de Jerusalén","313 d.C.","18/03/386","Tierra Santa","Jerusalén","Obispo de Jerusalén y Doctor de la Iglesia","Sufrió múltiples destierros bajo el arrianismo. Sus 24 Catequesis bautismales forman la joya de la iniciación litúrgica cristiana.","Pionero en la explicación dogmática del misterio eucarístico.","—"
"20","19/Marzo","San José","Siglo I a.C.","Siglo I d.C.","Tierra Santa","Nazaret / Belén","Esposo de María y Padre Adoptivo de Jesús","Varón justo y obediente, custodio del Redentor y protector de la Sagrada Familia en el destierro y el taller de Nazaret.","Patrono universal de la Iglesia, de las familias y de los obreros.","Jesús de Nazaret (Hijo Adoptivo)"
"21","23/Marzo","Santo Toribio de Mogrovejo","16/11/1538","23/03/1606","España / Perú","Mayorga / Lima","Arzobispo de Lima y Misionero","Recorrió incansablemente los Andes a lomo de mula defendiendo la dignidad de los indígenas y organizando la Iglesia en el Perú.","Confirmó a Santa Rosa de Lima y a San Martín de Porres.","Santa Rosa de Lima, San Martín de Porres"
"22","25/Marzo","La Anunciación del Señor","—","—","Tierra Santa","Nazaret","Solemnidad de la Encarnación del Verbo","El arcángel San Gabriel anuncia a María la concepción del Hijo de Dios, respondiendo la Virgen con su 'Hágase en mí según tu palabra'.","Día del Niño por Nacer y conmemoración de la Redención.","—"
"23","13/Abril","San Martín I","598 d.C.","16/09/655","Italia","Todi / Roma / Quersoneso","Papa y Mártir","Condenó el monotelismo en Letrán. El emperador bizantino lo arrestó y desterró a Crimea, donde murió de privaciones.","Último pontífice venerado como mártir en el santoral romano.","—"
"24","21/Abril","San Anselmo","1033","21/04/1109","Italia / Inglaterra","Aosta / Canterbury","Arzobispo de Canterbury y Doctor de la Iglesia","Padre de la Teología Escolástica. Formuló el argumento ontológico y defendió la libertad de la Iglesia frente a los reyes normandos.","Acuñó la célebre fórmula 'Fides quaerens intellectum'.","—"
"25","23/Abril","San Adalberto","956 d.C.","23/04/997","República Checa","Praga / Prusia","Obispo y Mártir","Obispo de Praga que evangelizó Hungría, Polonia y las costas del mar Báltico, donde fue alanceado por idólatras prusianos.","Patrono de Polonia, Hungría y la República Checa.","—"
"26","23/Abril","San Jorge","275 d.C.","23/04/303","Capadocia / Palestina","Dióspolis (Lod)","Mártir y Tribuno Militar","Oficial del ejército imperial que proclamó su fe cristiana en tiempos de Diocleciano y fue degollado tras vencer duros tormentos.","El combate con el dragón simboliza el triunfo cristiano sobre la herejía y el mal.","—"
"27","24/Abril","San Fidel de Sigmaringa","01/10/1577","24/04/1622","Alemania / Suiza","Sigmaringen / Seewis","Sacerdote Capuchino y Mártir","Jurista que tomó el hábito franciscano. Enviado a predicar entre los calvinistas suizos, fue asesinado en el templo.","Protomártir de la Sagrada Congregación de Propaganda Fide.","—"
"28","25/Abril","San Marcos","Siglo I","25/04/68","Tierra Santa / Egipto","Jerusalén / Alejandría","Evangelista y Mártir","Discípulo de San Pedro y redactor del segundo Evangelio sinóptico. Fundó la ilustre Iglesia apostólica de Alejandría.","Simbolizado por el león alado del Tetramorfos.","Iglesia Copta"
"29","28/Abril","San Luis María Grignion de Montfort","31/01/1673","28/04/1716","Francia","Montfort / Saint-Laurent-sur-Sèvre","Sacerdote Misionero y Fundador","Misionero apostólico que renovó la fe en Francia con la predicación del Rosario y la santa consagración filial a la Virgen María.","Autor del 'Tratado de la Verdadera Devoción' e inspirador del 'Totus Tuus'.","Compañía de María, Hijas de la Sabiduría"
"30","28/Abril","San Pedro Chanel","12/07/1803","28/04/1841","Francia / Oceanía","Cuet / Isla Futuna","Sacerdote Marista y Mártir","Primer mártir de Oceanía. Evangelizó con infinita paciencia la isla de Futuna, donde fue muerto a golpes por orden del cacique tribal.","Al poco tiempo de su sacrificio, todos los habitantes de la isla abrazaron la fe.","Pueblos de Oceanía"
"31","29/Abril","Santa Catalina de Siena","25/03/1347","29/04/1380","Italia","Siena / Roma","Terciaria Dominica, Mística y Doctora de la Iglesia","Consagrada laica que medió en los conflictos bélicos de Italia y convenció al Papa Gregorio XI de regresar de Aviñón a Roma.","Recibió los sagrados estigmas. Co-patrona de Europa y de Italia.","—"
"32","30/Abril","San Pío V","17/01/1504","01/05/1572","Italia","Bosco Marengo / Roma","Papa Dominico","Promulgó el Misal y Breviario del Concilio de Trento. Organizó la flota cristiana de Lepanto que obtuvo la victoria rezando el Rosario.","Instauró la solemnidad de Nuestra Señora de las Victorias (Rosario).","—"
"33","1/Mayo","San José Obrero","Siglo I a.C.","Siglo I d.C.","Tierra Santa","Nazaret / Belén","Esposo de María y Padre Adoptivo de Jesús","Varón justo y obediente, custodio del Redentor y protector de la Sagrada Familia en el destierro y el taller de Nazaret.","Patrono universal de la Iglesia, de las familias y de los obreros.","Jesús de Nazaret (Hijo Adoptivo)"
"34","2/Mayo","San Atanasio","296 d.C.","02/05/373","Egipto","Alejandría","Obispo Patriarca y Doctor de la Iglesia","Inflexible defensor de la divinidad de Cristo en Nicea. Sufrió cinco exilios impuesto por tiranos proarrianos sin claudicar en la ortodoxia.","Redactó la biografía fundamental de San Antonio Abad.","—"
"35","12/Mayo","San Pancracio","289 d.C.","12/05/304","Frigia / Italia","Roma","Joven Mártir","Adolescente de 14 años que profesó a Cristo y prefirió la decapitación en la Vía Aurelia antes que quemar incienso a los ídolos del César.","Invocado como protector de la juventud y del trabajo honrado.","—"
"36","12/Mayo","Santos Nereo y Aquileo","Siglo I","12/05/98","Italia","Roma / Terracina","Soldados Pretorianos y Mártires","Guardias pretorianos que, tocados por la fe de los mártires, desertaron de la milicia pagana y fueron decapitados en Terracina.","Sepultados en las catacumbas de Domitila en Roma.","—"
"37","13/Mayo","Nuestra Señora de Fátima","—","—","Portugal","Fátima (Cova da Iria)","Aparición Mariana","La Madre de Dios se manifestó en 1917 a Lucía, Francisco y Jacinta implorando penitencia, el rezo del Rosario y consagración a su Corazón.","El 13 de octubre ocurrió el sobrecogedor 'Milagro del Sol'.","Santos Francisco y Jacinta Marto"
"38","14/Mayo","San Matías","Siglo I","80 d.C.","Tierra Santa","Belén / Jerusalén","Apóstol de Jesucristo","Testigo del ministerio de Cristo desde el bautismo en el Jordán. Escogido a suertes en el Cenáculo para reemplazar al traidor Judas Iscariote.","Mártir por lapidación y decapitado en Judea.","—"
"39","18/Mayo","San Juan I","470 d.C.","18/05/526","Italia","Siena / Rávena","Papa y Mártir","Enviado por el rey arriano Teodorico a negociar con Constantinopla, fue luego arrojado a un calabozo en Rávena donde expiró de hambre.","Mártir de la integridad pastoral pontificia.","—"
"40","20/Mayo","San Bernardino de Siena","08/09/1380","20/05/1444","Italia","Massa Marittima / L'Aquila","Sacerdote Franciscano y Predicador","Reformó la orden franciscana y recorrió toda Italia reconciliando ciudades divididas y exaltando el Santo Nombre de Jesús.","Pintaba la tablilla con el monograma 'IHS' radiante de rayos dorados.","—"
"41","21/Mayo","Santos Cristóbal Magallanes","30/07/1869","25/05/1927","México","Totatiche / Colotlán","Mártires de la Guerra Cristera","Sacerdotes y laicos mexicanos inmolados por celebrar los sacramentos durante la persecución gubernamental, confesando a Cristo Rey.","Murió bendiciendo a los soldados de su pelotón de fusilamiento.","Pueblo creyente de México"
"42","22/Mayo","Santa Rita de Casia","1381","22/05/1457","Italia","Roccaporena / Casia","Esposa, Madre y Monja Agustina","Perdonó a los asesinos de su esposo y logró la salvación de sus hijos. Ingresó con las monjas agustinas y llevó en su frente una espina de la Pasión.","Cuerpo incorrupto; abogada celestial de lo imposible.","—"
"43","26/Mayo","San Felipe Neri","21/07/1515","26/05/1595","Italia","Florencia / Roma","Sacerdote y Fundador del Oratorio","El Apóstol de Roma. Transformó la Ciudad Eterna con su caridad hacia huérfanos, alegría contagiosa, dirección espiritual y canto sacro.","Su corazón creció tanto por el fuego del Espíritu que curvó sus costillas.","Congregación del Oratorio"
"44","27/Mayo","San Agustín de Canterbury","Siglo VI","26/05/604","Italia / Inglaterra","Roma / Canterbury","Monje Benedictino y Arzobispo","Enviado por San Gregorio Magno para convertir a los anglosajones. Bautizó al rey Etelberto de Kent e instauró la primacía de Canterbury.","Primer arzobispo de Canterbury y apóstol de Inglaterra.","Iglesia católica inglesa"
"45","29/Mayo","San Paolo VI","26/09/1897","06/08/1978","Italia","Concesio / Castel Gandolfo","Papa de la Iglesia Católica","Concluyó y ejecutó el Concilio Vaticano II. Defendió con valentía profética la vida en la encíclica 'Humanae Vitae' y abrió la era del diálogo ecuménico.","Fue el primer pontífice moderno en peregrinar a Tierra Santa en avión.","—"
"46","1/Junio","San Justino","100 d.C.","165 d.C.","Samaria / Italia","Roma","Filósofo Cristiano, Apologista y Mártir","Halló en Cristo la filosofía perfecta. Defendió con cartas públicas a los emperadores la inocencia moral y la santidad eucarística de los cristianos.","Murió decapitado junto a sus discípulos por negarse a rendir culto pagano.","—"
"47","2/Junio","Santos Marcelino y Pedro","Siglo III","02/06/304","Italia","Roma","Sacerdote, Exorcista y Mártires","Clérigos insignes que bautizaron a numerosos paganos en las cárceles romanas y fueron degollados en el bosque de Silva Nigra por Diocleciano.","Invocados solemnemente en el Canon Romano de la Misa.","—"
"48","3/Junio","Santos Carlos Luanga y compañeros","1860","03/06/1886","Uganda","Namugongo","Mártires de Uganda (Jóvenes Pajes Reales)","Carlos Luanga y veintidós jóvenes pajes de la corte se mantuvieron puros e intrépidos en su fe frente a la tiranía del rey Mwanga, muriendo en la hoguera.","Primeros mártires de la moderna África negra; patronos de la juventud africana.","Cristianismo africano"
"49","5/Junio","San Bonifacio","675 d.C.","05/06/754","Inglaterra / Alemania","Crediton / Maguncia / Dokkum","Obispo Benedictino Misionero y Mártir","Apóstol de Germania. Cortó con un hacha el árbol pagano de Thor en Geismar y plantó la fe católica. Martirizado en Frisia leyendo el Evangelio.","Originó la tradición del árbol de Navidad consagrado a Cristo.","Iglesia en Alemania"
"50","6/Junio","San Norberto","1080","06/06/1134","Alemania","Xanten / Magdeburgo","Arzobispo y Fundador Premonstratense","Clérigo cortesano convertido tras caer de su cabalgadura. Fundó la Orden Premonstratense consagrada a la austeridad y a la gloria del Sacramento del Altar.","Gran apóstol de la reconciliación y de la devoción eucarística.","Canónigos Premonstratenses"
"51","9/Junio","San Efrén","306 d.C.","09/06/373","Turquía / Siria","Nísibis / Edesa","Diácono, Poeta y Doctor de la Iglesia","El 'Arpa del Espíritu Santo'. Escribió cánticos teológicos inmortales que defendieron la pureza de la Virgen y la Trinidad en idioma siríaco.","Atendió con heroísmo a los hambrientos y apestados de Edesa hasta su muerte.","—"
"52","11/Junio","San Bernabé","Siglo I","61 d.C.","Chipre / Tierra Santa","Salamina / Antioquía","Apóstol y Compañero de San Pablo","Varón lleno de fe y Espíritu Santo apodado 'Hijo de la Consolación'. Acompañó a Pablo en su primer viaje apostólico y murió lapidado en Chipre.","Vendió su campo para poner el precio a disposición de los apóstoles.","—"
"53","19/Junio","San Romualdo","951 d.C.","19/06/1027","Italia","Rávena / Camaldoli","Abad y Fundador Camaldulense","Reformó la vida solitaria cenobítica fundando la sagrada ermita de Camaldoli. Promovió la oración continua en retiro absoluto.","Autor de la célebre 'Breve Regla' para la contemplation silenciosa.","Orden Camaldulense"
"54","22/Junio","San Paulino de Nola","354 d.C.","22/06/431","Francia / Italia","Burdeos / Nola","Cónsul Romano, Esposo y Obispo","Senador riquísimo que vendió su patrimonio para repartirlo a los necesitados. Consagrado obispo de Nola, ofreció su libertad como esclavo por otros.","Gran poeta cristiano y amigo entrañable de San Agustín.","—"
"55","22/Junio","Santos Juan Fisher","1469 / 1478","22/06/1535 / 06/07/1535","Inglaterra","Londres","Cardenal Obispo / Gran Canciller y Mártires","Rehusaron aprobar la usurpación de la Iglesia inglesa por el rey Enrique VIII. Ambos fueron decapitados en la Torre de Londres firmes en la unidad con el Papa.","Tomás Moro proclamó en el cadalso ser siervo del rey, pero primero de Dios.","Juristas y gobernantes católicos"
"56","27/Junio","San Cirilo de Alejandría","376 d.C.","27/06/444","Egipto","Alejandría","Patriarca y Doctor de la Iglesia","Presidente del Concilio de Éfeso en 431. Proclamó el dogma sublime de María como 'Theotokos' (Madre de Dios) frente al nestorianismo.","Insigne baluarte de la cristología católica ortodoxa.","—"
"57","29/Junio","Santos Pedro y Pablo","Siglo I a.C.","64 / 67 d.C.","Tierra Santa / Tarso","Roma","Príncipe de los Apóstoles y Apóstol de los Gentiles","Pedro, la roca de la Iglesia, y Pablo, el heraldo universal del Evangelio. Ambos rubricaron con su sangre martirial en Roma la gloria apostólica.","Pedro crucificado hacia abajo en el Vaticano; Pablo degollado en las Tres Fuentes.","Toda la Iglesia Católica"
"58","30/Junio","Los Santos Primeros mártires de la Iglesia de Roma","Siglo I","64 d.C.","Italia","Roma","Mártires de la Persecución de Nerón","Incontables cristianos convertidos por Pedro y Pablo calumniados por Nerón tras el incendio de Roma; devorados por canes o encendidos como antorchas.","Fundamento martirial regado con la sangre de la Iglesia primitiva.","—"
"59","3/Julio","Santo Tomás","1225","07/03/1274","Italia","Roccasecca / Aquino","Sacerdote Dominico, Teólogo y Doctor de la Iglesia","Conocido como el Doctor Angélico. Ingresó a los Dominicos desafiando la oposición familiar. Autor de la 'Summa Theologiae', armonizó la filosofía aristotélica con la revelación cristiana.","Compuso los himnos 'Pange Lingua' y 'Tantum Ergo' para el Corpus Christi.","Estudiantes y teólogos católicos"
"60","4/Julio","Santa Isabel de Portugal","1271","04/07/1366","España / Portugal","Zaragoza / Coímbra","Reina de Portugal y Terciaria Franciscana","Reina consorte apodada 'La Pacificadora' por interponerse personalmente entre ejércitos beligerantes para evitar guerras fraticidas. Amaba a los pobres.","Milagro de las rosas: los panes escondidos en su manto para los mendigos se transformaron en rosas.","—"
"61","6/Julio","Santa María Goretti","16/10/1890","06/07/1902","Italia","Corinaldo / Nettuno","Virgen y Mártir de la Pureza","Joven campesina de 11 años que resistió un asalto contra su pureza prefiriendo la muerte. Apuñalada catorce veces, perdonó de corazón a su atacante antes de morir.","Su asesino se arrepintió, asistió a su canonización y entró a un convento.","Juventud y doncellas católicas"
"62","9/Julio","Santos Agustín Zhao Rong","1746","1815 - 1900","China","Wuchuan / Pekín","Sacerdote y 120 Mártires de China","Soldado imperial que custodió a obispos prisioneros y quedó tan tocado por su santidad que se convirtió y ordenó sacerdote. Sufrió torturas mortales por la fe.","Canonizados solemnemente por San Juan Pablo II en el año 2000.","Católicos de China"
"63","11/Julio","San Benito","480 d.C.","21/03/547","Italia","Nursia / Subiaco / Montecasino","Abad y Padre del Monacato Occidental","Fundador de la abadía de Montecasino y redactor de la inmortal 'Santa Regla' fundamentada en el principio armónico del 'Ora et Labora' (Reza y Trabaja).","Patrono principal de Europa. Famoso por su medalla y cruz exorcística.","Orden Benedictina, Monjes de Occidente"
"64","13/Julio","San Enrique","06/05/973","13/07/1024","Alemania","Baviera / Grona / Bamberg","Emperador del Sacro Imperio Romano Germánico","Gobernante cristiano ejemplar casado con Santa Cunegunda. Fundó obispados como Bamberg y promovió la paz, la justicia y las virtudes evangélicas.","Único emperador germánico canonizado por la Iglesia.","—"
"65","14/Julio","San Camilo de Lellis","25/05/1550","14/07/1614","Italia","Bucchianico / Roma","Sacerdote y Fundador (Camilos o Ministros de los Enfermos)","Antiguo soldado y tahúr convertido en los capuchinos. Creó una orden de religiosos para servir con heroísmo a los moribundos como si fueran el mismo Cristo.","Introdujo la Cruz Roja sobre el hábito religioso para socorrer en campos de batalla.","Ministros de los Enfermos"
"66","15/Julio","San Buenaventura","1221","15/07/1274","Italia","Bagnoregio / Lyon","Cardenal Obispo Franciscano y Doctor de la Iglesia","Llamado el 'Doctor Seráfico'. Ministro general de los Franciscanos y biógrafo oficial de San Francisco. Gran místico y luminaria teológica en París.","Célebre autor del 'Itinerario de la Mente hacia Dios'.","Familia Franciscana"
"67","16/Julio","Nuestra Señora del Carmen","—","—","Tierra Santa / Inglaterra","Monte Carmelo / Aylesford","Advocación Mariana y Reina del Carmelo","En 1251, la Virgen se manifestó a San Simón Stock entregándole el Santo Escapulario carmelitano con promesas de auxilio e indulgencia en la hora final.","Patrona de los marineros, de las almas del purgatorio y de los carmelitas.","Orden del Carmen"
"68","20/Julio","San Apolinar","Siglo I","23/07/75","Siria / Italia","Antioquía / Rávena","Obispo y Mártir","Discípulo del apóstol San Pedro que lo consagró primer obispo de Rávena. Sanó enfermos, derribó templos paganos y padeció golpes de maza mortales por confesar a Cristo.","La majestuosa basílica de San Apolinar in Classe custodia su venerable memoria.","—"
"69","21/Julio","San Lorenzo de Brindis","22/07/1559","22/07/1619","Italia / Portugal","Brindisi / Lisboa","Sacerdote Capuchino y Doctor de la Iglesia","Políglota prodigioso que dominaba el hebreo, griego y latín. Con un crucifijo en alto infundió valor a los ejércitos cristianos en la victoria de Székesfehérvár.","Llamado el 'Doctor Apostólico'. Diplomático incansable por la paz europea.","—"
"70","22/Julio","Santa María Magdalena","Siglo I","Siglo I d.C.","Tierra Santa","Magdala / Jerusalén / Éfeso","Apóstol de los Apóstoles","De quien Jesús expulsó siete demonios. Fiel discípula que estuvo al pie de la Cruz en el Calvario y fue la primera en contemplar al Señor Resucitado en el huerto.","Enviada por el mismo Cristo a anunciar la Resurrección a los Once Apóstoles.","—"
"71","23/Julio","Santa Brígida de Suecia","1303","23/07/1373","Suecia / Italia","Finsta / Roma","Esposa, Madre de Ocho Hijos, Religiosa y Mística","Dama noble sueca que fundó la Orden del Santísimo Salvador (Brigidinas). Sus celestiales 'Revelaciones' proféticas llamaron a los reyes y prelados a la santidad.","Co-patrona de Europa junto a Santa Catalina y Santa Teresa Benedicta.","Santa Catalina de Suecia"
"72","24/Julio","San Chárbel Makhlouf","08/05/1828","24/12/1898","Líbano","Bekaakafra / Annaya","Sacerdote y Ermitaño Maronita","Monje maronita que vivió veintitrés años en la más estricta soledad eremítica orando día y noche ante el Sagrario en el eremitorio de San Pedro y San Pablo.","Obrador de incontables prodigios y curaciones físicas comprobadas mundialmente.","Pueblo cristiano del Líbano"
"73","29/Julio","Santos Marta","Siglo I","Siglo I d.C.","Tierra Santa","Betania","Amigos Íntimos de Jesucristo","Hermanos que acogían con inmenso amor al Maestro en su hogar de Betania. Marta como icono de la hospitalidad activa, María de la escucha contemplativa y Lázaro resucitado de la tumba.","Fiesta unificada por el Papa Francisco para honrar la santidad familiar evangélica.","—"
"74","30/Julio","San Pedro Crisólogo","380 d.C.","03/12/450","Italia","Imola / Rávena","Arzobispo de Rávena y Doctor de la Iglesia","Su apelativo significa 'El de la palabra de oro' por la brillante brevedad y riqueza de sus sermones explicando el misterio de la Encarnación y la Santa Misa.","Consejero papal y fiel defensor de las definiciones cristológicas católicas.","—"
"75","31/Julio","San Ignacio de Loyola","23/10/1491","31/07/1556","España","Azpeitia (Guipúzcoa) / Roma","Sacerdote y Fundador (Compañía de Jesús)","Caballero herido en Pamplona cuya lectura de vidas de santos lo convirtió radicalmente. Fundó los Jesuitas bajo el lema 'A la Mayor Gloria de Dios' (AMDG).","Autor de los 'Ejercicios Espirituales', método cumbre del discernimiento vocacional.","San Francisco Javier, Jesuitas"
"76","1/Agosto","San Alfonso María de Ligorio","27/09/1696","01/08/1787","Italia","Nápoles / Nocera dei Pagani","Obispo, Fundador Redentorista y Doctor de la Iglesia","Abogado que renunció a los tribunales para fundar la Congregación del Santísimo Redentor (Redentoristas), predicando misiones a los campesinos y escribiendo teología moral.","Compuso villancicos populares célebres como 'Tu scendi dalle stelle'.","Misioneros Redentoristas"
"77","4/Agosto","San Juan María Vianney","08/05/1786","04/08/1859","Francia","Dardilly / Ars-sur-Formans","Sacerdote (El Santo Cura de Ars)","Párroco de una humilde aldea que transformó a toda Francia pasando dieciocho horas diarias en el confesionario reconciliando miles de pecadores con Dios.","Patrono celestial de todos los párrocos y sacerdotes del orbe católico.","Feligresía de Ars"
"78","5/Agosto","La Dedicación de la Basílica de Santa María","—","—","Italia","Roma (Colina Esquilina)","Dedicación Basílica Mayor / Virgen de las Nieves","La más antigua basílica mariana de Occidente, erigida por Sixto III tras el Concilio de Éfeso para glorificar a la Virgen Madre de Dios en Roma.","Cuenta la tradición que la Virgen marcó su perímetro con una milagrosa nevada en pleno agosto.","—"
"79","7/Agosto","San Cayetano","01/10/1480","07/08/1547","Italia","Vicenza / Nápoles","Sacerdote y Fundador (Clérigos Regulares Teatinos)","Conocido como el Padre de la Providencia. Fundó los Teatinos que confiaban ciegamente en la Divina Providencia sin pedir limosna ni acumular rentas.","Patrono del pan y del trabajo en el mundo hispanoamericano.","Orden de Teatinos"
"80","7/Agosto","Santos Sixto II","Siglo III","06/08/258","Grecia / Italia","Roma","Papa, Diáconos y Mártires","Papa que fue decapitado en su cátedra mientras celebraba la liturgia en las catacumbas de San Calixto durante la persecución del emperador Valeriano.","Martirizado junto a cuatro de sus diáconos inmediatos.","San Lorenzo Diácono"
